Winner,Wikipedia_URL,qid,birth_year
Michael Greenberg,https://en.wikipedia.org/wiki/Michael_Greenberg,Q11773095,
Haim Sompolinsky,https://en.wikipedia.org/wiki/Haim_Sompolinsky,Q23991079,1949
Larry F. Abbott,https://en.wikipedia.org/wiki/Larry_F._Abbott,Q19938073,1949
Terrence J. Sejnowski,https://en.wikipedia.org/wiki/Terrence_J._Sejnowski,Q2405291,1947
Arthur B. McDonald,https://en.wikipedia.org/wiki/Arthur_B._McDonald,Q710597,1943
Atsuto Suzuki,https://en.wikipedia.org/wiki/Atsuto_Suzuki,Q757812,1946
Kam-Biu Luk,https://en.wikipedia.org/wiki/Kam-Biu_Luk,Q16973826,1953
Koichiro Nishikawa,https://en.wikipedia.org/wiki/Koichiro_Nishikawa,,
Takaaki Kajita,https://en.wikipedia.org/wiki/Takaaki_Kajita,Q11538917,1959
Yifang Wang,https://en.wikipedia.org/wiki/Yifang_Wang,Q21503488,1963
Yoichiro Suzuki,https://en.wikipedia.org/wiki/Yoichiro_Suzuki,,
Kip S. Thorne,https://en.wikipedia.org/wiki/Kip_S._Thorne,Q323320,1940
Rainer Weiss,https://en.wikipedia.org/wiki/Rainer_Weiss,Q2128461,1932
Ronald W. P. Drever,https://en.wikipedia.org/wiki/Ronald_W._P._Drever,Q1633582,1931
Andrew Strominger,https://en.wikipedia.org/wiki/Andrew_Strominger,Q507732,1955
Cumrun Vafa,https://en.wikipedia.org/wiki/Cumrun_Vafa,Q1143841,1960
Joseph Polchinski,https://en.wikipedia.org/wiki/Joseph_Polchinski,Q1156878,1954
Charles L. Bennett,https://en.wikipedia.org/wiki/Charles_L._Bennett,Q1065219,1956
David N. Spergel,https://en.wikipedia.org/wiki/David_N._Spergel,Q744057,1961
Gary Hinshaw,https://en.wikipedia.org/wiki/Gary_Hinshaw,Q55715780,
Lyman Page Jr.,https://en.wikipedia.org/wiki/Lyman_Page_Jr.,,
Norman Jarosik,https://en.wikipedia.org/wiki/Norman_Jarosik,Q44594531,
